id,name,price,scraped_time
1,Смартфон Samsung Galaxy A14 6/128GB Серебристый,2 149 000 сум,2023-12-05 23:47:21 (UTC+5)
2,Смартфон Honor X9b 12/256GB Оранжевый,4 759 000 сум,2023-12-05 23:47:21 (UTC+5)
3,Смартфон Xiaomi Redmi 12 8/256GB Чёрный,2 349 000 сум,2023-12-05 23:47:21 (UTC+5)
4,Смартфон Honor X7b 8/128GB Чёрный,2 529 000 сум,2023-12-05 23:47:21 (UTC+5)
5,Смартфон Honor X6a 6/128GB Синий,2 079 000 сум,2023-12-05 23:47:21 (UTC+5)
6,Смартфон Honor X8A 6/128GB Серебристый,2 879 000 сум,2023-12-05 23:47:21 (UTC+5)
7,Смартфон Honor X8A 6/128GB Чёрный,2 879 000 сум,2023-12-05 23:47:21 (UTC+5)
8,Смартфон Xiaomi Redmi Note 12 Pro 6/128GB Серый,3 009 000 сум,2023-12-05 23:47:21 (UTC+5)
9,Смартфон Honor X8A 6/128GB Голубой,2 879 000 сум,2023-12-05 23:47:21 (UTC+5)
10,Смартфон Samsung Galaxy A34 6/128GB Чёрный,3 439 000 сум,2023-12-05 23:47:21 (UTC+5)
11,Смартфон Honor X6a 4/128GB Полночный чёрный,1 979 000 сум,2023-12-05 23:47:21 (UTC+5)
12,Смартфон TECNO Spark 10 4/128GB Чёрный,1 819 000 сум,2023-12-05 23:47:21 (UTC+5)
13,Смартфон Samsung Galaxy A54 8/256GB Белый,4 559 000 сум,2023-12-05 23:47:21 (UTC+5)
14,Смартфон TECNO Spark Go 2023 4/64GB Чёрный. ХИТ ПРОДАЖ!,1 399 000 сум,2023-12-05 23:47:21 (UTC+5)
15,Смартфон TECNO POVA 5 8/256GB Чёрный,2 609 000 сум,2023-12-05 23:47:21 (UTC+5)
16,Смартфон TECNO Spark 10C 4/128GB Чёрный,1 679 000 сум,2023-12-05 23:47:21 (UTC+5)
17,Смартфон TECNO Spark 10C 4/128GB Синий,1 709 000 сум,2023-12-05 23:47:21 (UTC+5)
18,Смартфон Xiaomi Redmi 13C 8/256GB Чёрный,2 009 000 сум,2023-12-05 23:47:21 (UTC+5)
19,Смартфон Xiaomi Redmi 13C 4/128GB Чёрный,1 969 000 сум,2023-12-05 23:47:21 (UTC+5)
20,Смартфон Xiaomi Redmi 12C 4/128GB Синий,1 659 000 сум,2023-12-05 23:47:21 (UTC+5)
21,Смартфон Xiaomi Redmi 13C 6/128GB Чёрный,1 859 000 сум,2023-12-05 23:47:21 (UTC+5)
22,Смартфон Xiaomi Redmi 13C 8/256GB Синий,2 009 000 сум,2023-12-05 23:47:21 (UTC+5)
23,Смартфон Xiaomi Redmi 13C 4/128GB Синий,1 969 000 сум,2023-12-05 23:47:21 (UTC+5)
24,Смартфон Xiaomi Redmi 12C 4/128GB Мятный,1 609 000 сум,2023-12-05 23:47:21 (UTC+5)
